sku,motivo
"ADIBAC06/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC19","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC23-18KG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC23-30KG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC23-8KG","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC27","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBAC31/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP03/BLK","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP09","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP09-JR","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP10N","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP10N-JR","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP50S-3.5M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBP50S-4.5M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKIT03/12OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKIT07/08OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKIT07/10OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKIT07/12OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKIT07/14OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBPKITSMU/14OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBTKA02/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBTKA02/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBTKK02/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBXWJK01/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBXWSH01/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBXWTHJ01/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIBXWTSH01/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041M/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041M/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041M/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSG041M/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSJ02KB-WHT/BLK/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSJ02KB-WHT/BLK/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSJ02KB-WHT/BLK/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSJ02KB-WHT/BLK/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSL04KB-BLK/WHT/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSL05KB-BLK/WHT/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSL05KB-BLK/WHT/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-BLK/WHT/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-GREY/BLK/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-WHT/BLK/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-WHT/BLK/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-WHT/BLK/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADICSTS01KB-WHT/BLK/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIEB01-RED/BLU/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIEB01-RED/BLU/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIJRW01","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIJRW03","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIJRW05","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP01/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP01/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP01/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP01/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP03/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP03/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP03/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP03/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIP03/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPFP01M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01M/WHT/BLK-L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01M/WHT/BLK-M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01M/WHT/BLK-XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01PRO/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01PRO/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01PRO/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPHG01PRO/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPKID/XXS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADIPT01","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBG175/12OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBG175/14OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBG750-10OZ","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP01","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-BLK/BLK/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-BLK/BLK/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-BLK/BLK/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-RED/BLK/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-RED/BLK/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-RED/BLK/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-RED/BLK/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-RED/BLK/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-ROY/BLK/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-ROY/BLK/M","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-ROY/BLK/S","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-ROY/BLK/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISBP022S-ROY/BLK/XS","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISP300DB","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISP550FM-BLK/GLD/SIL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISS01CS/L","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISS01CS/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISS01CS/XXL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADISSS01","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITAP01/XL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITAP01/XXL","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITC03ECO/150","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITC03ECO/160","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
"ADITC03ECO/170","No coincide con formatos generales admitidos (mixto, nuevo o legado)"
